item,class_id,class_name,th,default_name,obj_type,obj_mane,output_Measurement
Voltage,201327104,Voltage L-N,201327109,Voltage N-E,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327873,Voltage A-B High,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327874,Voltage A-B Low,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327875,Voltage A-B Mean,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327876,Voltage B-C High,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327877,Voltage B-C Low,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327878,Voltage B-C Mean,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327879,Voltage C-A High,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327880,Voltage C-A Low,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327881,Voltage C-A Mean,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327882,Voltage L-L Avg High,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327883,Voltage L-L Avg Low,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327884,Voltage L-L Avg Mean,RegisterObj,NumericVariable_Register,
Voltage,201327872,Voltage HiLoMean,201327885,Voltage L-N Avg Mean,RegisterObj,NumericVariable_Register,
Voltage,201327360,Demand Voltage,201327361,Block Demand Voltage A-B,RegisterObj,NumericVariable_Register,
Voltage,201327360,Demand Voltage,201327362,Block Demand Voltage B-C,RegisterObj,NumericVariable_Register,
Voltage,201327360,Demand Voltage,201327363,Block Demand Voltage C-A,RegisterObj,NumericVariable_Register,
Voltage,201327360,Demand Voltage,201327364,Block Demand Voltage A-N,RegisterObj,NumericVariable_Register,
Voltage,201327360,Demand Voltage,201327365,Block Demand Voltage B-N,RegisterObj,NumericVariable_Register,
Voltage,201327360,Demand Voltage,201327366,Block Demand Voltage C-N,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812609,PQI Overall This Week,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812610,PQI Overall Last Week,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812611,PQI Overall This Month,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812612,PQI Overall Last Month,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812613,PQI Overall 30 Day Trend,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812614,PQI Overall 52 Week Trend,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812615,Uptime Percent - Last 12 Months,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812616,Uptime Last 12 Months,RegisterObj,NumericVariable_Register,
Power Quality,211812608,PQI,211812617,Downtime Last 12 Months,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813121,Crest Factor Current A,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813122,Crest Factor Current B,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813123,Crest Factor Current C,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813124,Crest Factor Current N,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813125,Crest Factor Voltage A-B,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813126,Crest Factor Voltage B-C,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813127,Crest Factor Voltage C-A,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813128,Crest Factor Voltage A-N,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813129,Crest Factor Voltage B-N,RegisterObj,NumericVariable_Register,
Power Quality,211813120,Crest Factor,211813130,Crest Factor Voltage C-N,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813633,K-Factor A,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813634,K-Factor B,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813635,K-Factor C,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813636,K-Factor A High,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813637,K-Factor A Mean,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813638,K-Factor B High,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813639,K-Factor B Mean,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813640,K-Factor C High,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813641,K-Factor C Mean,RegisterObj,NumericVariable_Register,
Power Quality,211813632,K-Factor,211813642,K-Factor N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666881,THD Current A,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666882,THD Current B,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666883,THD Current C,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666884,THD Current N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666885,THD Voltage A-N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666886,THD Voltage B-N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666887,THD Voltage C-N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666888,THD Voltage A-B,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666889,THD Voltage B-C,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666890,THD Voltage C-A,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666891,THD RMS Current A,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666892,THD RMS Current B,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666893,THD RMS Current C,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666894,THD RMS Current N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666895,THD RMS Voltage A-N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666896,THD RMS Voltage B-N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666897,THD RMS Voltage C-N,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666898,THD RMS Voltage A-B,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666899,THD RMS Voltage B-C,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666900,THD RMS Voltage C-A,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666901,THD Current A High,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666902,THD Current A Mean,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666903,THD Current B High,RegisterObj,NumericVariable_Register,
Harmonics,208666880,THD,208666904,THD Current B Mean,RegisterObj,NumericVariable_Register,
